CONCEPT,POLARITY
absolute_alcohol,negative
absolute_discretion,positive
absolute_dominion,negative
absolute_equality,positive
absolute_idealism,positive
absolute_immunity,positive
absolute_joy,positive
absolute_liability,negative
absolute_loyalty,positive
absolute_monarch,positive
absolute_monarchy,negative
absolute_necessity,negative
absolute_negativity,negative
absolute_nonsense,positive
absolute_perfection,positive
absolute_pitch,positive
absolute_power,negative
absolute_prohibition,negative
absolute_refractory_period,negative
absolute_rubbish,positive
absolute_ruler,positive
absolute_silence,positive
absolute_truth,positive
absolute_value,positive
absolute_veto,negative
absolute_vodka,negative
absolutely,positive
absolutely_brilliant,positive
absolutely_clear,negative
absolutely_critical,positive
absolutely_crucial,positive
absolutely_essential,positive
absolutely_false,negative
absolutely_fantastic,positive
absolutely_impossible,negative
absolutely_incapable,negative
absolutely_necessary,negative
absolutely_perfect,positive
absolutely_stunning,positive
absolutely_vital,positive
absolutely_wonderful,positive
absolution,positive
absolutism,negative
absolutist,negative
absolutist_rule,positive
absolutive,negative
absolve,positive
absolved,positive
absolvitory,positive
absorb,positive
absorb_carbon_dioxide,positive
absorb_heat,positive
absorb_information,positive
absorb_moisture,positive
absorb_oxygen,negative
absorb_water,positive
absorbable_suture,negative
absorbent,positive
absorbent_cotton,positive
absorbent_paper,negative
absorbing,positive
absorbing_carbon_dioxide,positive
absorbs_moisture,negative
absorption,positive
abstain_from,negative
abstaining_from,negative
abstemious,positive
abstemiousal,positive
abstemiousness,negative
abstention,positive
absterge,positive
abstinance,negative
abstinence,negative
abstinence_education,negative
abstinence_only,negative
abstinent,negative
abstract,positive
abstract_mathematical,negative
abstract_think,positive
abstract_thought,positive
abstraction,positive
abstractionism,negative
abstractly,positive
abstruse,positive
abstruseness,negative
abstrusity,negative
absurd,negative
absurdism,positive
absurdist,positive
absurdist_comedy,positive
absurdist_humor,negative
absurdity,negative
absurdly,negative
abugida,negative
abundance,positive
abundant,positive
abundant_fruit,positive
abundant_wildlife,positive
abundantly,positive
abusable,negative
abuse,negative
abuse_neglect,negative
abused_alcohol,positive
abusing_alcohol,positive
abusive,negative
abusive_behavior,negative
abusive_boyfriend,positive
abusive_conduct,negative
abusive_father,negative
abusive_husband,negative
abusive_parent,negative
abusive_stepfather,negative
abusive_treatment,negative
abusively,negative
abut,positive
abuzz,negative
abysmal,positive
abysmally,negative
abyss,negative
abyssal_plain,negative
abyssinicum,negative
ac_adapter,positive
ac_adaptor,positive
ac_chart,positive
ac_impedance,positive
ac_power,positive
ac_traction,positive
academe,positive
academese,negative
academia,positive
academic,negative
academic_achievement,positive
academic_administrator,positive
academic_adviser,negative
academic_advisor,negative
academic_discipline,positive
academic_excellence,positive
academic_integrity,positive
academic_merit,positive
academic_registrar,positive
academic_requirement,positive
academic_science,positive
academical,negative
academically,positive
academician,negative
academicism,positive
academicyear_month,positive
academy,positive
academy_nda,negative
acalculia,negative
acantha,negative
acanthamoeba,positive
acanthotic,negative
acaricide,negative
acarophobia,negative
acarpous,negative
acb_slam_dunk,positive
accede,positive
accelerant,positive
accelerate,positive
accelerated_depreciation,negative
accelerated_erosion,negative
acceleration,negative
accelerator,positive
accelerometer,positive
accent,positive
accent_lighting,negative
accented_english,negative
accented_letter,positive
accentuate,negative
accentuation,negative
accepit,negative
accept,positive
accept_challenge,positive
accept_responsibility,positive
acceptability,negative
acceptable,positive
acceptable_excuse,positive
acceptableness,positive
acceptance,positive
acceptation,positive
accepted,positive
accepting_change,positive
accepts_responsibility,positive
access,positive
access_computer,positive
access_csma,positive
access_internet,positive
access_offa,positive
access_quickly,positive
accessary,positive
accessed_through,positive
accessforall,positive
accessibility,positive
accessibility_template_vpat,positive
accessible,positive
accessible_toilet,positive
accessible_via,positive
accessible_via_telnet,positive
accessing_inappropriate,positive
accessorial,negative
accessorise,negative
accessorize_outfit,positive
accessory,positive
accessory_shoe,negative
accident,negative
accident-prone,negative
accident_game,negative
accident_happen,negative
accident_prevention,positive
accidental,negative
accidental_contamination,negative
accidental_damage,negative
accidental_death,negative
accidental_deletion,positive
accidental_detonation,negative
accidental_discovery,positive
accidental_explosion,negative
accidental_ignition,negative
accidental_injury,negative
accidental_pregnancy,positive
accidentally,negative
accidentally_delete,negative
accidie,positive
accipiter,negative
acclaim,positive
acclaimed,positive
acclaimed_documentary,positive
acclamation,positive
acclimate,negative
acclimatise,negative
acclimatised,negative
acclimatization,negative
acclimatize,negative
acclimatizing,negative
accolade,positive
accommodate,positive
accommodation,positive
accommodative,negative
accomodate,positive
accomodation,positive
accompanying_diagram,positive
accompanying_spouse,positive
accomplice,negative
accomplish,positive
accomplish_goal,positive
accomplish_mission,positive
accomplish_task,positive
accomplished,positive
accomplished_athlete,positive
accomplished_dancer,negative
accomplishment,positive
accord,positive
accord_sur,positive
accordance,positive
accordance_with,positive
accordant,positive
accordantly,positive
according,positive
accordingly,positive
accordion_style,positive
accost,positive
account,positive
account_book,positive
account_department,positive
account_holder,positive
account_indebtedness,negative
account_payable,negative
account_receivable,positive
accountability,positive
accountable,positive
accountant,positive
accountant_office,positive
accountedge,positive
accounting,positive
accounting_firm,positive
accounting_fraud,negative
accounting_profession,positive
accouterment,positive
accoutrement,positive
accreditation,positive
accrete,negative
accretion,positive
accretion_disc,negative
accrue,positive
accrued_interest,negative
acculturation,positive
accumulate,positive
accumulate_debt,negative
accumulate_knowledge,positive
accumulate_stress,negative
accumulate_stress_city,negative
accumulate_wealth,negative
accumulated_depreciation,negative
accumulated_wealth,positive
accumulating_wealth,positive
accumulation,positive
accumulator,positive
accuracy,positive
accurate,positive
accurate_calibration,negative
accurate_description,positive
accurate_estimate,positive
accurate_estimation,positive
accurate_measurement,positive
accurately,positive
accurately_describe,positive
accurately_determine,positive
accurately_estimate,positive
accurately_gauge,positive
accurately_measure,positive
accurately_predict,negative
accurse,negative
accusation,negative
accusative,negative
accusatory,negative
accuse,negative
accuse_person,negative
accused,negative
accused_fort_hood,negative
accused_rapist,positive
accuser,negative
accusing,negative
accusingly,negative
accusive,negative
accuweather,negative
ace,positive
ace_hardware,positive
ace_inhibitor,negative
acellular_pertussis_vaccine,negative
acer_griseum,negative
acer_negundo,negative
acer_palmatum,negative
acer_rubrum,positive
acer_saccharum,negative
acerb,negative
acerbate,negative
acerbic,negative
acerbic_wit,negative
acerbity,negative
acetabular,positive
acetabular_component,negative
acetabular_cup,negative
acetabulum,positive
acetaminophen,negative
acetaminophen_tylenol,negative
acetate,negative
acetazolamide,negative
acetic_acid,positive
acetic_anhydride,negative
acetify,negative
acetone,positive
acetyl_chloride,negative
acetylacetone,negative
acetylcholine_ach,positive
acetylcholine_release,positive
acf,positive
ach_credit,positive
ach_debit,positive
ach_tha,positive
achaar,negative
achalasia,negative
achamoth,positive
ache,negative
achene,positive
achievability,negative
achievable,positive
achieve,positive
achieve_goal,positive
achieve_immortality,positive
achieve_orgasm,positive
achieve_parity,negative
achieve_regulatory_compliance,positive
achieved,positive
achievement,positive
achievement_motivation,positive
achiever,positive
achievment,positive
achillea,positive
achillea_millefolium,positive
achilles_injury,negative
achilles_problem,positive
achilles_tendon,positive
aching,negative
aching_feet,positive
aching_head,negative
aching_heart,negative
aching_void,negative
achingly,negative
achingly_beautiful,negative
achish,positive
achlorhydria,negative
achondrogenesis_type,positive
achondroplasia,negative
achromasia,negative
achromat,positive
achromatic,negative
achromatic_color,negative
achromatopsia,negative
achy,positive
aci_worldwide,negative
acicular,negative
acid,negative
acid-forming,negative
acid-producing,negative
acid_bath,negative
acid_battery_pack,negative
acid_grassland,negative
acid_indigestion,negative
acid_reflux,negative
acid_reflux_disease,negative
acid_regurgitation,negative
acidic,negative
acidic_proton,positive
acidic_solution,negative
acidification,negative
acidify,negative
acidity,negative
acidly,negative
acidophil,positive
acidophile,positive
acidophilus,negative
acidophilus_bacterium,negative
acidophilus_flora,negative
acidophilus_microflora,negative
acidulate,negative
acidulousness,negative
aciduria,negative
acinonyx,positive
aciphex,negative
ack_message,positive
acknowledge,positive
acknowledge_receipt,positive
acknowledgeable,positive
acknowledged,negative
acknowledgement,positive
acknowledges_receipt,positive
acknowledgeth,positive
acknowledging_receipt,positive
acknowledgment,positive
acknowledgment_letter,positive
acleistoceratidae,negative
aclu,positive
acm_digital,positive
acml,negative
acne,negative
acne_medication,negative
acned,negative
acolyte,negative
aconite,negative
acorn_squash,positive
acorn_winter_squash,negative
acoustic,positive
acoustic_aphasia,negative
acoustic_noise,negative
acoustic_power,positive
acoustic_signal,negative
acoustic_trio,positive
acoustic_version,positive
acoustical,negative
acp_cartridge,positive
acquaint,positive
acquaint_student_with,positive
acquaintance,positive
acquaintance_rape,negative
acquaintanceship,positive
acquainted_with,positive
acquiesce,negative
acquiescence,negative
acquiescent,negative
acquire,positive
acquire_goods,positive
acquire_information,positive
acquire_knowledge,positive
acquire_wealth,positive
acquired_taste,positive
acquirement,positive
acquisition,positive
acquisitive,negative
acquisitive_growth,positive
acquisitiveness,negative
acquit,positive
acquittal,positive
acquitted,negative
acral,negative
acre,positive
acre_estate,positive
acre_farm,positive
acre_ha,positive
acreage,positive
acrid,negative
acrid_smell,positive
acrid_taste,positive
acridity,negative
acridness,negative
acrimonious,negative
acrimonious_debate,negative
acrimoniously,negative
acrimony,negative
acrobat,positive
acrobatic,positive
acrobatic_dance,negative
acrobatic_feat,negative
acrobatic_stunt,negative
acrobatically,negative
acrolein,negative
acromegalic,negative
acromegaly,positive
acromion,positive
acronymic,negative
acrophobia,negative
acrosome_reaction,positive
across-the-board,positive
across_the_country,negative
across_the_nation,negative
acrost,negative
acrostic,positive
acrylic,negative
acrylic_acid,negative
acrylic_paint,positive
act,positive
act_bored,positive
act_decisively,negative
act_fcra,positive
act_foolish,negative
act_impulsively,positive
act_out,negative
act_part,positive
act_play,positive
act_quickly,positive
act_responsibly,positive
act_silly,positive
act_smart,positive
act_stupid,negative
act_unilaterally,negative
act_up,negative
act_wisely,positive
actaea_racemosa,negative
acted_fraudulently,positive
acted_negligently,negative
acted_recklessly,negative
acted_willfully,negative
actin_filament,negative
actin_filament_assembly,negative
acting,positive
acting_air_commodore,positive
acting_career,positive
acting_deputy_director,positive
acting_ensign,positive
acting_general_counsel,positive
acting_illegally,negative
acting_out,positive
acting_wing_commander,positive
actinic_dermatitis,negative
actinidia_deliciosa,positive
actinoceratidae,negative
actinomorphic,negative
actinotherapy,positive
action,positive
action-planning,negative
action_adventure,positive
action_at_law,positive
action_bronson,positive
action_conference_cpac,negative
action_figure,positive
action_flick,negative
action_fund,positive
action_lawsuit,negative
action_lawsuit_against,negative
action_movie,positive
action_seeking_injunctive,positive
action_thriller,negative
actionaid,negative
actionaid_international,negative
actioner,negative
activate,positive
activated,negative
activated_carbon_filter,negative
activating,positive
activating_mutation,negative
activation,positive
activation_barrier,positive
activation_energy,positive
active,positive
active-duty,positive
active_conformation,negative
active_engagement,negative
active_ingredient,negative
active_intellect,positive
active_involvement,negative
active_lifestyle,negative
active_participation,positive
active_participle,positive
active_role,negative
actively,positive
actively_collaborate,positive
actively_encourage,positive
actively_engage,positive
actively_manage,positive
actively_monitor,positive
actively_participate,negative
actively_promote,positive
actively_resist,negative
activeness,positive
activewear,negative
activism,negative
activist,positive
activity,positive
activity_described,negative
actor,positive
actor_chow_yun,negative
actor_comedian,positive
actor_equity,positive
actorly,negative
actress,positive
actress_singer,positive
actress_vivica,negative
actual,positive
actual_eviction,negative
actual_malice,negative
actualist,positive
actuality,positive
actualization,positive
actualize,positive
actually,negative
actuated,positive
actus_reus,negative
acuity,positive
acumen,positive
acupuncture,negative
acupuncture_oriental_medicine,negative
acupuncturist,negative
acutance,positive
acute,negative
acute_accent,negative
acute_anxiety,negative
acute_asthma,negative
acute_bacterial,positive
acute_care_nurse_practitioner,negative
acute_chest_pain,negative
acute_coronary_syndrome,negative
acute_dehydration,negative
acute_diarrhea,negative
acute_diarrhoea,negative
acute_exacerbation,negative
acute_fever,negative
acute_gastritis,negative
acute_glossitis,negative
acute_gvhd,negative
acute_heart_failure,negative
acute_infectious_disease,negative
acute_inflammatory,negative
acute_intermittent_porphyria,negative
acute_kidney_failure,negative
acute_leukemia,negative
acute_lymphoblastic_leukemia,negative
acute_lymphocytic_leukemia,negative
acute_malnutrition,negative
acute_myelogenous_leukemia,negative
acute_myeloid_leukaemia,negative
acute_myeloid_leukemia,negative
acute_onset,negative
acute_otitis_media,negative
acute_phase,negative
acute_pneumonia,negative
acute_porphyria,negative
acute_pulmonary,negative
acute_rehabilitation,positive
acute_renal_failure,negative
acute_respiratory,negative
acute_respiratory_syndrome,negative
acute_rheumatic_fever,negative
acute_shortage,negative
acute_trauma,negative
acute_triangle,positive
acute_urinary_retention,negative
acute_viral_disease,negative
acutely,negative
acutely_toxic,negative
acvp,positive
acyclovir_resistant,negative
acyl_coa,negative
acyltransferase,negative
ad,negative
ad_blocker,negative
ad_campaign,positive
ad_exec,negative
ad_hd,negative
ad_hoc,positive
ad_hominem,positive
ad_hominem_argument,positive
ad_hominem_attack,negative
ad_nauseam,positive
ad_revenue,positive
ad_valorem,positive
ad_valorem_tax,positive
adage,positive
adagio,positive
adamance,negative
adamance_of_purpose,negative
adamant,negative
adamantine,positive
adamantium,positive
adamantly,negative
adamic_language,positive
adaminaby,negative
adapt,positive
adaptability,positive
adaptable,positive
adaptation,positive
adapted,positive
adapter,positive
adaption,positive
adaptive,positive
adaptive_optics_system,positive
adaptively,positive
adaptiveness,positive
adaptor,positive
adaxial_surface,negative
adblock,negative
add,positive
add-on,negative
add_adhd,positive
add_broth,negative
add_flavor,positive
add_garlic,negative
add_knowledge,positive
add_number,positive
add_number_together,positive
add_on,positive
add_onion,negative
add_spice,negative
add_sugar,positive
add_two_numbers,positive
add_two_numbers_together,positive
add_up_column_number,positive
add_up_number,positive
added_value,positive
addendum,positive
adder,negative
adder_tongue,negative
addict,negative
addicted,negative
addicted_computer_game,negative
addicting,negative
addiction,negative
addiction_treatment,positive
addictive,negative
addictive_drug,negative
addictive_nature,negative
addictive_painkiller,positive
addictive_substance,negative
addition,positive
additional,positive
additionally,positive
additive,negative
additive_color,positive
additivity,negative
addle,negative
addlehead,negative
addleshaw_goddard,positive
addling,positive
address,positive
address_book,positive
address_label,positive
addressee,negative
adduce,positive
adducing_evidence,negative
adductor,positive
adefovir,negative
adelgid,negative
adelic,positive
adelphi_theatre,negative
adem_altan_afp_getty,negative
adenoma,negative
adenopathy,negative
adenosine,positive
adenosis,negative
adenoviral_mediated_gene,positive
adenozine,positive
adept,positive
adept_at,positive
adeptly,positive
adeptness,positive
adequacy,negative
adequate,positive
adequate_assurance,positive
adequate_documentation,positive
adequate_explanation,positive
adequate_liquidity,positive
adequate_moisture,negative
adequate_pain_relief,negative
adequate_remedy,positive
adequate_representation,positive
adequate_substantiation,positive
adequate_to,positive
adequate_ventilation,positive
adequately,positive
adequately_capture,negative
adequately_describe,positive
adequately_disclose,positive
adequately_enforce,negative
adequateness,negative
adessive,positive
adforce,negative
adhart,positive
adhd,negative
adhere,positive
adhere_strictly,positive
adherence,positive
adherent,positive
adherently,positive
adhesion_contract,positive
adhesion_strength,positive
adhesive,negative
adhesive-backed,negative
adhesive_bandage,negative
adhesive_strength,negative
adhesive_strip,negative
adhesive_tape,positive
adiabatic,negative
adiabatic_compression,negative
adiabatic_expansion,negative
adiabatic_process,negative
adiantum,positive
adib,positive
adience,negative
adieu,positive
adipic_acid,negative
adiponectin,positive
adiponitrile,negative
adirondack,positive
adirondack_chair,positive
adisson,positive
adjacent,negative
adjacent_parking_lot,negative
adjectival,negative
adjectival_suffix,negative
adjective,positive
adjoin,negative
adjoining_bathroom,positive
adjoining_cemetery,negative
adjoining_parish,negative
adjourn,negative
adjourned_sine_die,negative
adjournment,negative
adjournment_sine_die,negative
adjudge,negative
adjudged_guilty,negative
adjunct,negative
adjunct_assistant_professor,positive
adjunct_associate_professor,positive
adjunct_faculty,positive
adjunct_faculty_member,positive
adjunct_instructor,positive
adjunct_lecturer,positive
adjunct_professor,positive
adjunctive,positive
adjunctive_therapy,negative
adjust,positive
adjust_clothes,negative
adjust_seat,positive
adjust_volume,negative
adjust_water_temperature,negative
adjustable,positive
adjustable_wrench,positive
adjusted,negative
adjusted_gross_income_agi,positive
adjustment,positive
adjutant,positive
adlerangriff,positive
adm_chegwidden,negative
admin,positive
admin_intervention,positive
administer,positive
administer_corporal_punishment,negative
administer_oxygen,negative
administered_intramuscularly,negative
administered_orally,negative
administered_parenterally,negative
administered_subcutaneously,negative
administering_oxygen,negative
administering_poison,negative
administrability,positive
administrable,positive
administrate,positive
administrated_by,positive
administration,positive
administration_mba,positive
administration_mba_degree,positive
administration_mba_program,positive
administration_mpa,positive
administrative,positive
administrative_assistant,positive
administrative_burden,positive
administrative_district,positive
administrative_division,positive
administrative_overhead,positive
administrator,positive
admirable,positive
admirably,positive
admiral,positive
admiral_general_aladeen,negative
admiral_graf_spee,negative
admiral_nimitz,positive
admiral_sir,positive
admiration,positive
admire,positive
admired,positive
admirer,positive
admiringly,negative
admissible,positive
admissible_evidence,negative
admission,positive
admission_tutor,positive
admit,positive
admit_defeat,positive
admittedly,negative
admixture,negative
admonish,negative
admonishing,negative
admonishment,positive
admonitory,negative
adnan_akmal,negative
adnate,negative
adnyamathanha,negative
adobe,positive
adobe_acrobat_plugin,positive
adobe_brick,positive
adobe_rgb,positive
adolescence,positive
adolescent,positive
adolescent_growth_spurt,positive
adolf_hitler,positive
adolph_hitler,positive
adomnan,positive
adomnn,positive
adopt,positive
adopt_child,positive
adopted_pursuant,negative
adoptive_family,positive
adoptive_parent,positive
adoptive_placement,positive
adorable,positive
adorable_little,positive
adorable_puppy,positive
adorably,positive
adoration,positive
adore,positive
adoring,positive
adoring_crowd,positive
adoringly,positive
adorn,positive
adorned,positive
adornment,positive
adrenal,negative
adrenal_cortical_steroid,negative
adrenal_gland,positive
adrenal_hyperplasia,positive
adrenal_suppression,negative
adrenalin,positive
adrenalin_rush,positive
adrenaline,positive
adrenaline_rush,negative
adrenaline_surge,positive
adrenarche,positive
adrenergic,positive
adrenergic_drug,positive
adrenergic_receptor,positive
adrenergic_receptor_agonist,negative
adrenocortical,negative
adrenocorticotrophic,positive
adrenocorticotropic,positive
adrenocorticotropic_hormone,positive
adrenoleukodystrophy,negative
adriano_celentano,positive
adriatic_league,positive
adrift,negative
adroit,positive
adroitly,positive
adroitness,positive
ads,positive
ads_cft_correspondence,positive
adscititious,negative
adsense,positive
adsorbate,positive
adsorbed_layer,negative
adsorption,positive
adsorption_onto,positive
adsorptive,positive
adulate,negative
adulation,positive
adulator,positive
adult,positive
adult_beetle,positive
adult_caregiver,positive
adult_drink,negative
adult_education,positive
adult_foster_care,positive
adult_male,positive
adult_male_suffrage,positive
adult_nurse_practitioner,negative
adult_obesity,negative
adult_onset,negative
adult_supervision,positive
adulterant,negative
adulterate,negative
adulterated_food,negative
adulterated_milk,negative
adulteration,negative
adulterer,negative
adulteress,negative
adulterous_affair,positive
adulterous_relationship,negative
adulterous_wife,negative
adultery,negative
adulthood,positive
adultry,negative
adumbrate,negative
adusta,negative
advance,positive
advance_battle,positive
advance_career,positive
advance_civilization,positive
advance_knowledge,positive
advance_next_level,positive
advanced,positive
advanced_heart_failure,negative
advanced_placement_exam,negative
advanced_weaponry,negative
advancement,positive
advancing_infantry,negative
advantage,positive
advantageous,positive
advantageousness,positive
advent,positive
adventitious,negative
adventitious_presence,negative
adventure,positive
adventure_playground,negative
adventure_tale,positive
adventuredome,positive
adventurer,positive
adventuresome,positive
adventurism,positive
adventurist,positive
adventurous,positive
adventurous_journey,positive
adventurous_spirit,positive
adventurously,positive
adventurousness,negative
adverb,positive
adverbial,negative
adverbial_usage,positive
adversarial,negative
adversary,negative
adversative,negative
adverse,negative
adverse_effect,negative
adverse_possession,positive
adverse_psychological,negative
adverse_yaw,negative
adversely_affect,negative
adversely_impact,negative
adverseness,negative
adversity,negative
advert,negative
advertise,positive
advertise_company,positive
advertise_heavily,positive
advertise_panel,positive
advertise_product,positive
advertisement,positive
advertiser,positive
advertising,negative
advertising_blitz,negative
advertising_campaign,positive
advertisment,negative
advertorial,positive
advice,positive
advil,positive
advisable,positive
advisably,positive
advise,positive
advisor,positive
advisory,positive
advisory_board,negative
advisory_board_member,negative
advisory_body,positive
advisory_capacity,positive
advisory_committee,negative
advisory_council,negative
advisory_group,positive
advisory_panel,positive
advisory_role,negative
advocacy,positive
advocate,positive
advocate_depute,positive
advocating,positive
advocation,positive
advocator,positive
advowson,positive
adze,negative
aec,negative
aec_chairman,negative
aedicula,negative
aega,negative
aeonian,negative
aerator,positive
aerial,positive
aerial_bomb,negative
aerial_gunnery,positive
aerial_resupply,negative
aerial_view,positive
aerialist,positive
aerobic_activity,positive
aerobic_capacity,positive
aerobic_dance,positive
aerobic_exercise,positive
aerobic_fermentation,positive
aerobic_treatment,negative
aerobic_workout,positive
aerodrome,negative
aerodynamic_drag,negative
aerodynamic_lift,positive
aerofoil,negative
aeronaut,positive
aeronomy,positive
aerophobia,negative
aerophone,positive
aeroplane,positive
aeroscraft,positive
aerosol,negative
aerosol_dissemination,negative
aerosol_formation,negative
aerosol_transmission,negative
aerostat,positive
aerozine,positive
aeschylus_agamemnon,negative
aeschylus_oresteia,positive
aesculetin,negative
aesculi,negative
aesculus_hippocastanum,negative
aesculus_parviflora,negative
aesop,positive
aesop_fable,positive
aesopic,positive
aesthesia,positive
aesthesis,negative
aesthete,positive
aesthetic,positive
aesthetic_appeal,positive
aesthetic_beauty,negative
aesthetic_contemplation,negative
aesthetic_judgement,positive
aesthetic_pleasure,negative
aesthetic_sensibility,positive
aesthetic_sensitivity,positive
aesthetic_surgery,positive
aesthetic_value,positive
aesthetical,positive
aesthetically,negative
aestheticism,positive
aestheticization,positive
aesthetics,positive
aestivate,positive
aestivation,negative
aethina_tumida,negative
afar,negative
afar_off,positive
afeard,negative
afebrile,negative
affability,positive
affable,negative
affableness,positive
affably,negative
affair,negative
affair_correspondent,positive
affaire,positive
affect,positive
affect_adversely,negative
affectation,negative
affected_extremity,negative
affected_limb,negative
affected_testicle,positive
affectedly,negative
affectedness,negative
affecting,negative
affection,positive
affectional,positive
affectionate,positive
affectionate_farewell,positive
affectionate_nickname,positive
affectionate_regard,positive
affectionately,positive
affectionateness,positive
affective,positive
affective_dimension,positive
affective_disorder,negative
affective_response,positive
affectivity,negative
affidavit,positive
affiliate,positive
affiliate_membership,positive
affiliation,positive
affiliative,positive
affinal,positive
affine_connection,negative
affinity,positive
affinity_chromatography,positive
affirm,positive
affirmance,negative
affirmation,positive
affirmative,positive
affirmative_duty,negative
affirmatively,positive
affirmativeness,positive
affix,positive
affixed,positive
affixed_thereto,negative
afflict,negative
affliction,negative
affluence,positive
affluent,positive
affluent_commuter,positive
affluent_lifestyle,positive
affluenza,negative
afford,positive
affordable,positive
affordable_care,negative
affordable_health_care,negative
affordable_healthcare,negative
affordable_price,positive
affords_attachment,negative
affray,negative
affricate,negative
affright,negative
affront,negative
affusion,positive
aficionado,positive
afin_qu,positive
afire,positive
aflagellate,negative
aflame,positive
aflare,positive
aflicker,negative
afloat,negative
afm_probe,positive
afm_tip,negative
afoot,positive
aforesaid,positive
aforesayd,negative
aforetime,positive
afoul,negative
afox,negative
afraid,negative
afraid_death,negative
afraid_of,negative
afrika_bambaataa,positive
afro,negative
afro_cuban,negative
afro_cuban_jazz,positive
afro_hairstyle,positive
afro_wig,negative
afroasiatic_language_family,negative
afrocentrist,negative
afromontane,negative
aft_cabin,positive
after-thought,negative
after_dinner,positive
after_meal,positive
after_school,positive
after_taste,positive
afterall,negative
afterbirth,positive
aftercare,positive
afterdamp,negative
afterimage,negative
aftermath,positive
afternoon,positive
afternoon_nap,positive
afternoon_snack,positive
