Tweets/Message,Matched Words,Positive Word Frequency,Negative Word Frequency,Tweet Polarity
a better phrase is remote teaching during a crisis as thats what teachers are doing by continuing education right now albertateachershome schooling now in full swing but not every family has laptops for every child  cbc news ,"['better', 'phrase', 'remote', 'crisis', 'are', 'continuing', 'education', 'right', 'in', 'full', 'swing', 'every', 'family', 'for', 'child', 'news']",14,3,POSITIVE
educators worry gap may grow for disadvantaged students stuck at home  the globe and mail   via shareaholic,"['worry', 'gap', 'grow', 'for', 'disadvantaged', 'stuck', 'home', 'the', 'globe', 'mail', 'via']",7,4,POSITIVE
having grown up in rural canada i know that internet is definitely an issue for many httpstcoisdi3tkj6z,"['up', 'in', 'rural', 'know', 'internet', 'definitely', 'for', 'many']",7,1,POSITIVE
a better phrase is remote teaching during a crisis as thats what teachers are doing by continuing education right now albertateachershome schooling now in full swing but not every family has laptops for every child  cbc news ,"['better', 'phrase', 'remote', 'crisis', 'are', 'continuing', 'education', 'right', 'in', 'full', 'swing', 'every', 'family', 'for', 'child', 'news']",14,3,POSITIVE
bscottanderson trailblzingabby i super dislike these kinds of lists and the metrics used to rank and sort them but at the very least they give us an idea for what systems are doing well to serve children httpstcoqob0cxjmhjpoland canada taiwan finland uk anything from any of them,"['super', 'dislike', 'of', 'the', 'to', 'rank', 'very', 'least', 'give', 'idea', 'for', 'are', 'well', 'serve', 'children', 'taiwan', 'uk']",17,3,POSITIVE
educators worry gap may grow for disadvantaged students stuck at home  ,"['worry', 'gap', 'grow', 'for', 'disadvantaged', 'stuck', 'home']",4,3,POSITIVE
the bricksandmortar classroom is one of the biggest assets in narrowing the divide and distance learning during this pandemic is widening inequities that may end up setting back some children from marginalized communitieshttpstcokqmc8ag4ku,"['the', 'classroom', 'one', 'of', 'biggest', 'in', 'narrowing', 'divide', 'distance', 'learning', 'pandemic', 'end', 'up', 'setting', 'back', 'children']",15,3,POSITIVE
looks pretty shortsighted to me adrianalagrange and jkenney strike again ableg kenneyscuts,"['pretty', 'shortsighted', 'to', 'strike', 'again']",3,2,POSITIVE
a better phrase is remote teaching during a crisis as thats what teachers are doing by continuing education right now albertateachershome schooling now in full swing but not every family has laptops for every child  cbc news ,"['better', 'phrase', 'remote', 'crisis', 'are', 'continuing', 'education', 'right', 'in', 'full', 'swing', 'every', 'family', 'for', 'child', 'news']",14,3,POSITIVE
a better phrase is remote teaching during a crisis as thats what teachers are doing by continuing education right now albertateachershome schooling now in full swing but not every family has laptops for every child  cbc news ,"['better', 'phrase', 'remote', 'crisis', 'are', 'continuing', 'education', 'right', 'in', 'full', 'swing', 'every', 'family', 'for', 'child', 'news']",14,3,POSITIVE
canadas top primarily undergraduate university 2020 mount allison httpstcozmydwknsqi,"['top', 'primarily', 'undergraduate', 'university', 'mount']",4,1,POSITIVE
thewhol74804691 abhinav28863036 precious4uh okay so you think americacanadauk lacks education fine i will now shift arguments to this i told you i dont want to say one is superior to anotherbut you want to play this game fine india not even in the top 20 of most educated so dont play,"['okay', 'think', 'education', 'fine', 'shift', 'to', 'say', 'one', 'superior', 'play', 'game', 'in', 'the', 'top', 'of', 'educated']",19,2,POSITIVE
shortsighted move this can be done remotely as the pathologists noted students should not see the supports they need to succeed cut back during this time speech pathologists at calgary schools say theyre heartbroken after surprise layoffs  cbc news ,"['shortsighted', 'move', 'the', 'see', 'need', 'to', 'succeed', 'cut', 'back', 'time', 'speech', 'say', 'heartbroken', 'surprise', 'news']",13,3,POSITIVE
a better phrase is remote teaching during a crisis as thats what teachers are doing by continuing education right now albertateachershome schooling now in full swing but not every family has laptops for every child  cbc news ,"['better', 'phrase', 'remote', 'crisis', 'are', 'continuing', 'education', 'right', 'in', 'full', 'swing', 'every', 'family', 'for', 'child', 'news']",14,3,POSITIVE
gopyouknowme abhinav28863036 precious4uh u r the one who brought in the education in us canada uk etc and i am simply pointing out the supremacy of the quality of education in india over the countries you mentioned,"['the', 'one', 'in', 'education', 'uk', 'simply', 'out', 'supremacy', 'of', 'quality', 'over']",16,3,POSITIVE
shanemulvey phillybridges bblife rzhevsky jayvsqua benjaminpdixon also in regards to education and legal services who told you it was cheaper in canada who are you sourcing this foolery from  legal services are not a regular expense therefore why would america factor that into the 1200 your just saying anything at this point,"['in', 'to', 'education', 'legal', 'cheaper', 'are', 'foolery', 'regular', 'expense', 'america', 'the', 'just', 'point']",15,1,POSITIVE
downhillracered i lived in canada also for two years with my uncle while my mom furthered her education,"['in', 'for', 'two', 'uncle', 'mom', 'education']",5,1,POSITIVE
maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the biggest assets in narrowing the socioeconomic divide amp distance learning during this pandemic is widening inequities onted onpoli ,"['maybe', 'one', 'of', 'the', 'biggest', 'end', 'day', 'classroom', 'in', 'narrowing', 'socioeconomic', 'divide', 'distance', 'learning', 'pandemic']",18,6,POSITIVE
a better phrase is remote teaching during a crisis as thats what teachers are doing by continuing education right now albertateachershome schooling now in full swing but not every family has laptops for every child  cbc news ,"['better', 'phrase', 'remote', 'crisis', 'are', 'continuing', 'education', 'right', 'in', 'full', 'swing', 'every', 'family', 'for', 'child', 'news']",14,3,POSITIVE
broadband is a vital lifeline right nowfcm rural forum chair orbray shares how covid19 pandemic has highlighted the gaps that exist btw different cdnmuni across ruralmatters universalbroaband  ,"['vital', 'right', 'rural', 'forum', 'chair', 'pandemic', 'the', 'exist', 'different']",7,2,POSITIVE
please read this is also the ford plan for higher education this will destroy our education systems at all levels it is the koch plan via the fraser institute to destroy public education in canada this edthesock  is treachery  betrayal of trust deception ,"['please', 'read', 'the', 'ford', 'plan', 'for', 'higher', 'education', 'destroy', 'all', 'via', 'institute', 'to', 'public', 'in', 'treachery', 'betrayal', 'of', 'trust', 'deception']",19,7,POSITIVE
broadband is a vital lifeline right nowfcm rural forum chair orbray shares how covid19 pandemic has highlighted the gaps that exist btw different cdnmuni across ruralmatters universalbroaband  ,"['vital', 'right', 'rural', 'forum', 'chair', 'pandemic', 'the', 'exist', 'different']",7,2,POSITIVE
a better phrase is remote teaching during a crisis as thats what teachers are doing by continuing education right now albertateachershome schooling now in full swing but not every family has laptops for every child  cbc news httpstcoacvbupjsaj,"['better', 'phrase', 'remote', 'crisis', 'are', 'continuing', 'education', 'right', 'in', 'full', 'swing', 'every', 'family', 'for', 'child', 'news']",14,3,POSITIVE
gopyouknowme abhinav28863036 precious4uh just another proof of how faulty your education is that is why indians are leading every big organisation in usa and canada that is why canada is desperately taking in indians as citizens evry year so tht they finally could get some ppl with brains,"['just', 'proof', 'of', 'faulty', 'education', 'are', 'leading', 'every', 'big', 'organisation', 'in', 'desperately', 'taking', 'year', 'get']",11,5,POSITIVE
tpsoperations torontomedics especially toronto drivers too easy to get a license in canada canadians need better training when it comes to operating a motor vehicle also education about road laws would be helpful most are oblivious to laws,"['easy', 'to', 'get', 'license', 'in', 'need', 'better', 'training', 'motor', 'vehicle', 'education', 'road', 'helpful', 'are']",14,2,POSITIVE
vincecharron lindafrum zackslater54 its amazingly amazing in canada how many managersceoshealth ministers executives have zero medicalhealthnursing training education andor experience,"['amazingly', 'amazing', 'in', 'many', 'have', 'zero', 'training', 'education', 'experience']",8,1,POSITIVE
with increasing efforts to indigenize amp decolonize education amp respond to the truth and reconciliation calls to action in canada what is 1 thing you wish nonindigenous administrators amp educators knew what is one piece of advice you have for indigenous folks in this space,"['increasing', 'to', 'education', 'respond', 'the', 'truth', 'reconciliation', 'action', 'in', 'wish', 'one', 'piece', 'of', 'advice', 'have', 'for', 'indigenous', 'space']",20,1,POSITIVE
chrisinsilico legal immigrants with higher education that were hired for jobs where there arent enough professionals just like canadameanwhile european union is paying turkish dictatorship to stop refugees from entering schengen and financing greeks navy thats shooting at their boats,"['legal', 'higher', 'education', 'for', 'enough', 'just', 'european', 'union', 'paying', 'dictatorship', 'to', 'stop', 'entering', 'financing', 'navy']",12,3,POSITIVE
fighting stigma   immigrant genius and international students elizabeth gave birth to fred in america  the desire to pursue further education in the us canada australia the uk new zealand or europe httpstcow3rg0hhzne,"['stigma', 'immigrant', 'genius', 'international', 'birth', 'to', 'in', 'america', 'the', 'desire', 'pursue', 'further', 'education', 'australia', 'uk', 'new', 'europe']",19,2,POSITIVE
online teaching resources out of reach for many rural families httpstcoy5f8jt5esi,"['online', 'out', 'of', 'reach', 'for', 'many', 'rural']",6,1,POSITIVE
maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the biggest assets in narrowing the socioeconomic divide amp distance learning during this pandemic is widening inequities onted onpoli ,"['maybe', 'one', 'of', 'the', 'biggest', 'end', 'day', 'classroom', 'in', 'narrowing', 'socioeconomic', 'divide', 'distance', 'learning', 'pandemic']",18,6,POSITIVE
online teaching resources out of reach for many rural families  ,"['online', 'out', 'of', 'reach', 'for', 'many', 'rural']",6,1,POSITIVE
maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the biggest assets in narrowing the socioeconomic divide amp distance learning during this pandemic is widening inequities onted onpoli ,"['maybe', 'one', 'of', 'the', 'biggest', 'end', 'day', 'classroom', 'in', 'narrowing', 'socioeconomic', 'divide', 'distance', 'learning', 'pandemic']",18,6,POSITIVE
principals and ts have great ideas about how to support these sswithout internet packages of work put together amp resources delivered to homes having pickup spots etcbut those options are not possible under the new brunswick state of emergency  httpstcognbolipzbm,"['have', 'great', 'to', 'support', 'internet', 'of', 'work', 'put', 'together', 'pickup', 'those', 'are', 'possible', 'the', 'new', 'state', 'emergency']",15,4,POSITIVE
maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the biggest assets in narrowing the socioeconomic divide amp distance learning during this pandemic is widening inequities onted onpoli ,"['maybe', 'one', 'of', 'the', 'biggest', 'end', 'day', 'classroom', 'in', 'narrowing', 'socioeconomic', 'divide', 'distance', 'learning', 'pandemic']",18,6,POSITIVE
who is ready for the big tcf canada announcement tomorrow at 3 pmtcf education literacy children,"['ready', 'for', 'the', 'big', 'announcement', 'tomorrow', 'education', 'literacy', 'children']",9,0,POSITIVE
school employees who help students who struggle with language and communication in the classroom say they were not expecting to be laid off ,"['school', 'help', 'struggle', 'language', 'communication', 'in', 'the', 'classroom', 'say', 'to', 'off']",9,2,POSITIVE
flybabymoni chadfelixg ie opportunities are dependent on previous outcomes education is the main way the political right to some extent tries to equalise opportunities without equalising outcomes but its not that effective social mobility in the usa is a bad joke certainly compared to canada,"['are', 'dependent', 'education', 'the', 'main', 'way', 'political', 'right', 'to', 'extent', 'without', 'effective', 'social', 'mobility', 'in', 'bad', 'joke', 'certainly']",18,4,POSITIVE
broadband is a vital lifeline right nowfcm rural forum chair orbray shares how covid19 pandemic has highlighted the gaps that exist btw different cdnmuni across ruralmatters universalbroaband  ,"['vital', 'right', 'rural', 'forum', 'chair', 'pandemic', 'the', 'exist', 'different']",7,2,POSITIVE
curious how health and physical education is being addressed by teachers et al across canada during covid19 any insight httpstco7dkts5dkeo,"['curious', 'health', 'physical', 'education', 'insight']",4,1,POSITIVE
its a pity these european countries the us canada and so on dont have a universal education system that informs people and teaches them the basics of science and for that matter civics to function in a world that includes the occasional viral outbreak,"['pity', 'european', 'the', 'have', 'universal', 'education', 'system', 'people', 'of', 'science', 'for', 'matter', 'to', 'function', 'in', 'world', 'occasional', 'viral', 'outbreak']",19,2,POSITIVE
ganonbelmont stormathighnoon canada has a very strong ukrainian heritage forcethe only country in the world with a holodomor classroom education bus httpstcosqvujimrka,"['very', 'strong', 'heritage', 'only', 'country', 'in', 'the', 'world', 'classroom', 'education', 'bus']",9,2,POSITIVE
shortsighted move this can be done remotely as the pathologists noted students should not see the supports they need to succeed cut back during this time speech pathologists at calgary schools say theyre heartbroken after surprise layoffs  cbc news ,"['shortsighted', 'move', 'the', 'see', 'need', 'to', 'succeed', 'cut', 'back', 'time', 'speech', 'say', 'heartbroken', 'surprise', 'news']",13,3,POSITIVE
the top 10 countries where teachers are paid the most 1 luxembourg 2 germany 3 the netherlands  4 canada 5 us 6 australia 7 ireland 8 denmark 9 south korea 10 austria wef education highered edtecheconomyinnovation ,"['the', 'top', 'are', 'paid', 'australia', 'education']",8,0,POSITIVE
denisebatters morneau is handing canadas death sentence with his mindless spendingnext step will be huge tax increases with major funding cuts in education and healththe carbon tax was just an appetizer,"['death', 'sentence', 'mindless', 'step', 'huge', 'tax', 'major', 'funding', 'in', 'education', 'carbon', 'just', 'appetizer']",10,4,POSITIVE
maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the biggest assets in narrowing the socioeconomic divide amp distance learning during this pandemic is widening inequities onted onpoli ,"['maybe', 'one', 'of', 'the', 'biggest', 'end', 'day', 'classroom', 'in', 'narrowing', 'socioeconomic', 'divide', 'distance', 'learning', 'pandemic']",18,6,POSITIVE
top 10 sites to learn excel for free sites for free online education sites for your career sites to review your resume for free indemand jobs in canada in 2019 certificates in canada in 2019 sites for interview preparation tech skills in demand in 2019thread,"['top', 'to', 'learn', 'excel', 'for', 'free', 'online', 'education', 'career', 'review', 'resume', 'in', 'interview', 'preparation', 'tech', 'demand']",28,0,POSITIVE
canada is soliciting university volunteers faculty and students with healthrelated education and training for case reporting and contact tracing efforts i still dont get why they didnt come for all our pcr machines a month ago and still havent ,"['university', 'faculty', 'education', 'training', 'for', 'reporting', 'contact', 'tracing', 'still', 'get', 'come', 'all', 'month', 'ago']",11,5,POSITIVE
do you want a big joke rosemary barton is chief political correspondentadviserspecialist of cbc its end of the world do you think no its not federal minister of health of canada is graphic designer by education its another joke in canadaamp deputy of pm is big joke httpstcoxsbacxuhtv,"['do', 'big', 'joke', 'chief', 'political', 'of', 'end', 'the', 'world', 'think', 'federal', 'minister', 'health', 'graphic', 'designer', 'education', 'in', 'deputy']",26,0,POSITIVE
canadanv adrianalagrange colinaitchison the moe stated they required the 128m from the 8330m ed budget for the fight against covid yet somehow the ucp found 15 billion that week for a pipeline amp just announced they have a medical surplus they are donating to other provinces ableg,"['the', 'stated', 'budget', 'for', 'fight', 'against', 'somehow', 'billion', 'week', 'just', 'announced', 'have', 'medical', 'surplus', 'are', 'to']",17,4,POSITIVE
you must be a special kind of stupid 200000 cdn is still 200000 because we live in canada youre a reflection of the american education system and it shows  ,"['special', 'kind', 'of', 'stupid', 'still', 'live', 'in', 'reflection', 'the', 'education', 'system']",10,2,POSITIVE
meaghanbm denisebatters what deflection you said you didnt understand the bar graph reflecting what provinces pay and what is returned in transfers i thought i would provide some education for you yo dont seem to understand how canada works youre welcome ps check out pei its a humdinger,"['deflection', 'understand', 'the', 'bar', 'graph', 'reflecting', 'pay', 'in', 'thought', 'provide', 'education', 'for', 'to', 'welcome', 'check', 'out', 'humdinger']",15,3,POSITIVE
canada passed a 52 billion relief package to help businesses pay up to 75 of employees wages read more httpstcotlm8fa3ufcbusiness businessplan businessstrategy education entrepreneur entrepreneurship newbusiness onlinebusiness products services,"['billion', 'relief', 'package', 'to', 'help', 'pay', 'up', 'of', 'read', 'education', 'entrepreneur']",11,1,POSITIVE
skh245 educateall101 mzpolitweetz dutchgirlusa johnstossel rachellemanios pollytoronto kahnkidz toronto thats 3000 km away from my jurisdiction and has nothing to do with me education is provincially controlled in canada british columbia has one of the best systems in the world i dont know anything about toronto never even been there,"['away', 'jurisdiction', 'nothing', 'to', 'do', 'education', 'in', 'one', 'of', 'the', 'best', 'world', 'know']",12,3,POSITIVE
here are some of my top threadtweet of the year incase you missed any1 the top 10 thread a thread on excel online education interview career canada skills etc 2 a stepbystep guide of applying to canada as student ,"['are', 'of', 'top', 'the', 'year', 'missed', 'thread', 'excel', 'online', 'education', 'interview', 'career', 'guide', 'to', 'student']",16,4,POSITIVE
hullzyblog jkenney cafreeland justintrudeau well i thought it was nice of them to pay 25000 education workers ei after kenney laid them off bought a pipeline its actually being built in canada so thats canadian jobs instead of montana jobs thats nice too,"['well', 'thought', 'nice', 'of', 'to', 'pay', 'education', 'off', 'actually', 'in']",10,2,POSITIVE
we may have struggled to serve some students in school that struggle will be greater remotely educators worry gap may widen for disadvantaged students who are stuck at home ,"['have', 'to', 'serve', 'in', 'school', 'struggle', 'greater', 'worry', 'gap', 'widen', 'for', 'disadvantaged', 'are', 'stuck', 'home']",11,4,POSITIVE
ezralevant sphilip18 cute how he says its only 159 canada is a clown show under trudeau and canadians are dumber than cattle and the globalists know it they created the education curriculum after all,"['cute', 'only', 'clown', 'show', 'are', 'cattle', 'the', 'know', 'education', 'curriculum', 'all']",10,2,POSITIVE
annalenanm kjellwilliams seculardude2 this is how i feel about religion in public education in canada we spent 40 yrs getting christianity out just to invite islam in,"['feel', 'religion', 'in', 'public', 'education', 'christianity', 'out', 'just', 'to', 'invite', 'islam']",12,1,POSITIVE
prickinthewall nataleeyaaa maahirmomtaz12 did you graduate or get any education in canada we are aware and we recognize the fact our indigenous people are a marginalized and at risk group of individuals who have suffered for centuries resulting in a mob mentality the divide you perpetuate is what feeds this problem,"['graduate', 'get', 'education', 'in', 'are', 'aware', 'recognize', 'the', 'fact', 'indigenous', 'people', 'risk', 'group', 'of', 'have', 'for', 'mob', 'mentality', 'divide', 'perpetuate', 'problem']",20,4,POSITIVE
cognos321 venomousgramma lovedoctornl readecam it means your education system is shit a metric is by which you compare two things via measurement for instance canada is placed higher on the freedoms index than the us another example is canadians do better in life expectancy too those are metrics,"['means', 'education', 'system', 'shit', 'metric', 'compare', 'two', 'via', 'measurement', 'for', 'higher', 'the', 'index', 'example', 'do', 'better', 'in', 'life', 'expectancy', 'those', 'are']",19,3,POSITIVE
ideasmithy because an influencer can have minors following them people who have not had a lot of education and because they admire their that person they can follow things that could be lethal for them here in canada you can sue the influencer who knowingly gave bad advice that killed,"['have', 'following', 'people', 'lot', 'of', 'education', 'admire', 'person', 'follow', 'lethal', 'for', 'in', 'the', 'knowingly', 'bad', 'advice', 'killed']",14,4,POSITIVE
maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the biggest assets in narrowing the socioeconomic divide amp distance learning during this pandemic is widening inequities onted onpoli ,"['maybe', 'one', 'of', 'the', 'biggest', 'end', 'day', 'classroom', 'in', 'narrowing', 'socioeconomic', 'divide', 'distance', 'learning', 'pandemic']",18,6,POSITIVE
dubaja74 cphocanada first off do not believe in fictional skygods i believe in science where as you believe in conspiracy theories which is really showing your education leveli suppose 5g is spreading it too huh bill gates is in on it right follow virologists and scientists and educate yourself httpstco52tdm8dkrk,"['first', 'off', 'do', 'believe', 'in', 'fictional', 'science', 'conspiracy', 'really', 'education', 'suppose', 'spreading', 'huh', 'bill', 'right', 'follow', 'educate']",18,4,POSITIVE
rural canada is not abundant with internet resources  a fact that should shock no one but seems to surprise many  httpstco4vqtkkk1yj,"['rural', 'abundant', 'internet', 'fact', 'shock', 'one', 'to', 'surprise', 'many']",6,3,POSITIVE
maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the biggest assets in narrowing the socioeconomic divide amp distance learning during this pandemic is widening inequities onted onpoli ,"['maybe', 'one', 'of', 'the', 'biggest', 'end', 'day', 'classroom', 'in', 'narrowing', 'socioeconomic', 'divide', 'distance', 'learning', 'pandemic']",18,6,POSITIVE
canadanv adrianalagrange colinaitchison the moe stated they required the 128m from the 8330m ed budget for the fight against covid yet somehow the ucp found 15 billion that week for a pipeline amp just announced they have a medical surplus they are donating to other provinces ableg,"['the', 'stated', 'budget', 'for', 'fight', 'against', 'somehow', 'billion', 'week', 'just', 'announced', 'have', 'medical', 'surplus', 'are', 'to']",17,4,POSITIVE
canadanv adrianalagrange colinaitchison the moe stated they required the 128m from the 8330m ed budget for the fight against covid yet somehow the ucp found 15 billion that week for a pipeline amp just announced they have a medical surplus they are donating to other provinces ableg,"['the', 'stated', 'budget', 'for', 'fight', 'against', 'somehow', 'billion', 'week', 'just', 'announced', 'have', 'medical', 'surplus', 'are', 'to']",17,4,POSITIVE
denisebatters morneau is handing canadas death sentence with his mindless spendingnext step will be huge tax increases with major funding cuts in education and healththe carbon tax was just an appetizer,"['death', 'sentence', 'mindless', 'step', 'huge', 'tax', 'major', 'funding', 'in', 'education', 'carbon', 'just', 'appetizer']",10,4,POSITIVE
canadanv adrianalagrange colinaitchison the moe stated they required the 128m from the 8330m ed budget for the fight against covid yet somehow the ucp found 15 billion that week for a pipeline amp just announced they have a medical surplus they are donating to other provinces ableghttpstcor4apktwegs,"['the', 'stated', 'budget', 'for', 'fight', 'against', 'somehow', 'billion', 'week', 'just', 'announced', 'have', 'medical', 'surplus', 'are', 'to']",17,4,POSITIVE
tdsb aims to bridge gaps in athome education  ,"['to', 'bridge', 'in', 'education']",4,0,POSITIVE
school employees who help students who struggle with language and communication in the classroom say they were not expecting to be laid off ,"['school', 'help', 'struggle', 'language', 'communication', 'in', 'the', 'classroom', 'say', 'to', 'off']",9,2,POSITIVE
the bricksandmortar classroom is one of the biggest assets in narrowing the divide and distance learning during this pandemic is widening inequities that may end up setting back some children from marginalized communities even further remotelearning ,"['the', 'classroom', 'one', 'of', 'biggest', 'in', 'narrowing', 'divide', 'distance', 'learning', 'pandemic', 'end', 'up', 'setting', 'back', 'children', 'further']",16,3,POSITIVE
you must be a special kind of stupid 200000 cdn is still 200000 because we live in canada youre a reflection of the american education system and it shows  httpstcou8a6brxrne,"['special', 'kind', 'of', 'stupid', 'still', 'live', 'in', 'reflection', 'the', 'education', 'system']",10,2,POSITIVE
these layoffs are because abed adrianalagrange cut 128m just a couple of weeks ago of course layoff notices are being issued she forced boards to do it ableg ,"['are', 'cut', 'just', 'couple', 'of', 'ago', 'course', 'forced', 'to', 'do']",9,3,POSITIVE
maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the biggest assets in narrowing the socioeconomic divide amp distance learning during this pandemic is widening inequities onted onpoli ,"['maybe', 'one', 'of', 'the', 'biggest', 'end', 'day', 'classroom', 'in', 'narrowing', 'socioeconomic', 'divide', 'distance', 'learning', 'pandemic']",18,6,POSITIVE
educators worry gap may grow for disadvantaged students stuck at home  ,"['worry', 'gap', 'grow', 'for', 'disadvantaged', 'stuck', 'home']",4,3,POSITIVE
broadband is a vital lifeline right nowfcm rural forum chair orbray shares how covid19 pandemic has highlighted the gaps that exist btw different cdnmuni across ruralmatters universalbroaband  ,"['vital', 'right', 'rural', 'forum', 'chair', 'pandemic', 'the', 'exist', 'different']",7,2,POSITIVE
top 10 sites to learn excel for free sites for free online education sites for your career sites to review your resume for free indemand jobs in canada in 2019 certificates in canada in 2019 sites for interview preparation tech skills in demand in 2019thread,"['top', 'to', 'learn', 'excel', 'for', 'free', 'online', 'education', 'career', 'review', 'resume', 'in', 'interview', 'preparation', 'tech', 'demand']",28,0,POSITIVE
xapache7 more lies like your education on the war of 1812 canada burnt down the white house once and we will do it again,"['education', 'the', 'war', 'of', 'burnt', 'down', 'white', 'house', 'do', 'again']",7,4,POSITIVE
there is an assumption that students are going to be disciplined they are going to be supported by parents and caregivers quite frankly its ridiculous said ms farhadi who is also a teacher with the toronto boardadrianalagrange abed ableg,"['assumption', 'are', 'going', 'to', 'disciplined', 'frankly', 'ridiculous', 'teacher', 'the']",9,3,POSITIVE
these layoffs are because abed adrianalagrange cut 128m just a couple of weeks ago of course layoff notices are being issued she forced boards to do it ableg ,"['are', 'cut', 'just', 'couple', 'of', 'ago', 'course', 'forced', 'to', 'do']",9,3,POSITIVE
maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the biggest assets in narrowing the socioeconomic divide amp distance learning during this pandemic is widening inequities onted onpoli ,"['maybe', 'one', 'of', 'the', 'biggest', 'end', 'day', 'classroom', 'in', 'narrowing', 'socioeconomic', 'divide', 'distance', 'learning', 'pandemic']",18,6,POSITIVE
carmbl rolat while this isnt canada  it does show how uneven onlinelearning can be amp lead to inequities in education in 10 us teens say they havent done online learning since schools closed httpstcoiauxhfihu7 teaching,"['show', 'uneven', 'lead', 'to', 'in', 'education', 'say', 'online', 'learning']",9,1,POSITIVE
maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the biggest assets in narrowing the socioeconomic divide amp distance learning during this pandemic is widening inequities onted onpoli ,"['maybe', 'one', 'of', 'the', 'biggest', 'end', 'day', 'classroom', 'in', 'narrowing', 'socioeconomic', 'divide', 'distance', 'learning', 'pandemic']",18,6,POSITIVE
cryptocred inversebrah in canada if you run a group and give buy  sell targets as long as its not just only education you need to be registered at the amf otherwise if one of your members loses money and reports you you get a 5000 fine no exception if you are not registered,"['in', 'run', 'group', 'give', 'buy', 'sell', 'long', 'just', 'only', 'education', 'need', 'to', 'the', 'one', 'of', 'money', 'get', 'fine', 'exception', 'are']",17,3,POSITIVE
